Site,ID,MeanLMA,n
Cerrejon,CJ01,91,24
Cerrejon,CJ25,87,24
Cerrejon,CJ15,86,24
Cerrejon,CJ22,76,24
Cerrejon,CJ05,98,24
Cerrejon,CJ08,83,24
Cerrejon,CJ02,104,24
Cerrejon,CJ19,108,24
Cerrejon,CJ04,84,24
Cerrejon,Menispermites cerrejonensis,69,24
Cerrejon,CJ13,80,24
Cerrejon,CJ16,83,24
Cerrejon,CJ28,88,24
Cerrejon,CJ38,125,24
Cerrejon,CJ43,70,24
Cerrejon,CJ10,93,24
Cerrejon,CJ12,126,24
Cerrejon,CJ17,62,24
Cerrejon,CJ18,44,24
Cerrejon,CJ21,106,24
Cerrejon,CJ24,70,24
Cerrejon,CJ32,95,24
Cerrejon,CJ50,71,24
Cerrejon,CJ55,74,24
Rusinga,1,125.2,16
Rusinga,4,115.19,16
Rusinga,5,86.94,16
Rusinga,6,85.87,16
Rusinga,7,124.15,16
Rusinga,8,70.25,16
Rusinga,9,124.19,16
Rusinga,10,122.84,16
Rusinga,11,113.93,16
Rusinga,16,86.47,16
Rusinga,21,112.74,16
Rusinga,22,195.82,16
Rusinga,23,167.56,16
Rusinga,25,176.68,16
Rusinga,26,101.96,16
Rusinga,27,173.6,16
Bilina Mine - LSH,Acer tricuspidatum,69,11
Bilina Mine - LSH,Alnus julianiformis,136,11
Bilina Mine - LSH,Comptonia difformis,107,11
Bilina Mine - LSH,Daphnogene polymorpha,53,11
Bilina Mine - LSH,Fraxinus bilinica,99,11
Bilina Mine - LSH, gen. et sp. Indet.,92,11
Bilina Mine - LSH,Laurophyllum saxonicum,137,11
Bilina Mine - LSH,Laurophyllum sp.,146,11
Bilina Mine - LSH,Myrica lignitum,109,11
Bilina Mine - LSH,Nyssa haidingeri,104,11
Bilina Mine - LSH,Quercus rhenana,71,11
Bilina Mine - DSH,Acer angustilobum,86,29
Bilina Mine - DSH,Acer intergerrimum,82,29
Bilina Mine - DSH,Acer tricuspidatum,51,29
Bilina Mine - DSH,Alnus gaudinii,63,29
Bilina Mine - DSH,Alnus julianiformis,146,29
Bilina Mine - DSH,Berberis berberidifolia,80,29
Bilina Mine - DSH,Betula sp.,77,29
Bilina Mine - DSH,Carya sp.,134,29
Bilina Mine - DSH,Cercidiphyllum crenatum,80,29
Bilina Mine - DSH,cf. Alnus sp.,77,29
Bilina Mine - DSH,Comptonia difformis,86,29
Bilina Mine - DSH,Daphnogene polymorpha,114,29
Bilina Mine - DSH,Decodon gibbosus,53,29
Bilina Mine - DSH,Fraxinus bilinica,102,29
Bilina Mine - DSH,Lauraceae gen.et.sp.indet.,59,29
Bilina Mine - DSH,Fabaceae gen.et.sp.indet.,59,29
Bilina Mine - DSH,Liquidambar europaea,67,29
Bilina Mine - DSH,Nyssa haidingeri,73,29
Bilina Mine - DSH,Pailiurus tiliaefolius,68,29
Bilina Mine - DSH,Parrotia pristina,68,29
Bilina Mine - DSH,Populus populina,68,29
Bilina Mine - DSH,Populus zaddachii,91,29
Bilina Mine - DSH,Quercus rehnana,64,29
Bilina Mine - DSH,Rosa europaea,72,29
Bilina Mine - DSH,Rubus merianii,102,29
Bilina Mine - DSH,Salix haidingeri,63,29
Bilina Mine - DSH,Sapindus falcifolius,101,29
Bilina Mine - DSH,Ternstroemites sp.,72,29
Bilina Mine - DSH,Ulmus pyramidalis,67,29
Baise,Cotinus sp,82,23
Baise,Acer sp,111.7,23
Baise,Populus sp,80.3,23
Baise,Lithocarpus sp,92.5,23
Baise,Laurus sp,90,23
Baise,Actinidia sp,102.8,23
Baise,Quercus sp,72.5,23
Baise,Madhuca sp,153.6,23
Baise,Vaccinium sp,50.6,23
Baise, Baise 10,132.8,23
Baise,Paliurus sp,82.1,23
Baise, Baise 12,106.2,23
Baise, Baise 13,91.4,23
Baise,Syzygium sp,112.1,23
Baise,Acmena sp,88.8,23
Baise,Mallotus sp,57.2,23
Baise,Strychnos sp,105.2,23
Baise,Broussonetia sp,65.5,23
Baise,Osmanthus sp,88.5,23
Baise,Englhardtia sp,59.3,23
