Site,Family,Genus,Species,ID,PW,LA,LMA,DepEnv,Common/Rare,Spec #,Notes 1,Notes 2,Notes 3,Notes 4,Margin,Lobation,Size Type,Primary Venation,Normalized Area,LOGAREA
Republic,Rosaceae,Crataegus,aff. Crataegus,aff. Crataegus,0.8,1117,67.9,Lake,,25083,,,,,,,,,11.17,1.048053173
Republic,Rosaceae,Crataegus,aff. Crataegus,aff. Crataegus,0.48,154.3,97.8,Lake,,I147TT,,,,,,,,,1.543,0.188365926
Republic,Rosaceae,Crataegus,aff. Crataegus,aff. Crataegus,0.57,614.4,65.8,Lake,,I7045,,,,,,,,,6.144,0.788451207
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.86,1300.6,67.7,Lake,,17216,,,,,,,,,13.006,1.11414375
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.53,442.8,70.5,Lake,,17281,,,,,,,,,4.428,0.646207612
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.89,374.4,111.8,Lake,,17394,,,,,,,,,3.744,0.57333584
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.7,701.8,73.2,Lake,,17528,,,,,,,,,7.018,0.846213364
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,1.19,668.1,111.8,Lake,,17868,,,,,,,,,6.681,0.824841472
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,1.03,754.4,95.6,Lake,,18247,,,,,,,,,7.544,0.87760168
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.8,836.5,75.8,Lake,,18371,,,,,,,,,8.365,0.922465945
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.62,363.4,85.8,Lake,,18395,,,,,,,,,3.634,0.560384923
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,1.02,1163.8,80.4,Lake,,18471,,,,,,,,,11.638,1.065878353
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.7,864.2,67.6,Lake,,25263 (F832),,,,,,,,,8.642,0.936614262
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.82,913.3,74.7,Lake,,E317H5,,,,,,,,,9.133,0.960613458
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.64,1117.8,57.2,Lake,,E319,,,,,,,,,11.178,1.048364105
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.89,713.8,87.4,Lake,,E426,,,,,,,,,7.138,0.853576544
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.93,766.6,87.9,Lake,,F11C,,,,,,,,,7.666,0.884568815
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.88,209.9,138.2,Lake,,F143,,,,,,,,,2.099,0.322012439
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.89,2212.8,56.7,Lake,,F280N4,,,,,,,,,22.128,1.344942163
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,1.34,3541,64.8,Lake,,F351,,,,,,, ,,35.41,1.549125927
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,1.25,554,124.7,Lake,,F392G6,,,,,,,,,5.54,0.743509765
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.75,451.6,91.3,Lake,,F594,,,,,,,,,4.516,0.654753933
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.69,541.5,79.9,Lake,,F597,,,,,,,,,5.415,0.733598461
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.86,807.8,81.2,Lake,,F599R8,,,,,,,,,8.078,0.907303849
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.87,497.2,98.6,Lake,,F60648,,,,,,,,,4.972,0.69653112
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.87,1071.8,73.5,Lake,,F747I11,,,,,,,,,10.718,1.030113753
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.75,628.6,80.5,Lake,,F771,,,,,,,,,6.286,0.798374377
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.98,1976.8,63.7,Lake,,F89U,,,,,,,,,19.768,1.295962732
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.48,294,76.5,Lake,,G160SS,,,,,,,,,2.94,0.46834733
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.81,999.9,71.5,Lake,,G161,,,,,,,,,9.999,0.999956568
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.6,825.3,61.1,Lake,,G302,,,,,,,,,8.253,0.916611845
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.95,1337,72.2,Lake,,G343,,,,,,,,,13.37,1.126131407
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.8,1504.2,60.6,Lake,,G498Q6,,,,,,,,,15.042,1.177305584
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.71,1762.8,52,Lake,,G63N,,,,,,,,,17.628,1.246203042
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.56,558.9,67.3,Lake,,G65P,,,,,,,,,5.589,0.74733411
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.7,678.1,74.1,Lake,,H024E,,,,,,,,,6.781,0.831293744
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.59,597.6,68.3,Lake,,H40P,,,,,,,,,5.976,0.776410589
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.62,563,72.6,Lake,,H88,,,,,,,,,5.63,0.750508395
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.77,554,86.2,Lake,,I177,,,,,,,,,5.54,0.743509765
Republic,Betulaceae,Alnus,Alnus parvifolia,Alnus parvifolia,0.88,4150.2,44.2,Lake,,I64,,,,,,,,,41.502,1.618069026
Republic,Betulaceae,Betula,Betula leopoldae,Betula leopoldae,0.67,2261.5,45.3,Lake,,17507,,,,,,,,,22.615,1.354396592
Republic,Betulaceae,Betula,Betula leopoldae,Betula leopoldae,1.16,2370.7,67.6,Lake,,E155,,,,,,,,,23.707,1.3748766
Republic,Betulaceae,Betula,Betula leopoldae,Betula leopoldae,1.1,1168.6,85.1,Lake,,E415L6,,,,,,,,,11.686,1.067665882
Republic,Betulaceae,Betula,Betula leopoldae,Betula leopoldae,1.07,1782.5,70.9,Lake,,F206E3,,,,,,,,,17.825,1.251029539
Republic,Betulaceae,Betula,Betula leopoldae,Betula leopoldae,0.88,851.3,81,Lake,,F340W5,,,,,,,,,8.513,0.930082633
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,0.73,1149.2,62.6,Lake,,17330,,,,,,,,,11.492,1.060395617
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,1.08,1223,82.4,Lake,,17360,,,,,,,,,12.23,1.087426457
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,1.23,1181.7,92.3,Lake,,17362,,,,,,,,,11.817,1.072507236
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,1.01,653.2,99.5,Lake,,17681,,,,,,,,,6.532,0.815046176
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,1.12,1539.5,77.6,Lake,,17852,,,,,,,,,15.395,1.187379693
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,0.91,1810.4,62.3,Lake,,18466,,,,,,,,,18.104,1.257774541
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,1.5,2760.2,77.6,Lake,,25061,,,,,,,,,27.602,1.440940552
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,1.54,3573.5,71.8,Lake,,25064,,,,,,,,,35.735,1.553093786
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,0.96,2197.5,60.2,Lake,,[no designation],,,,,,,,,21.975,1.341928884
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,0.84,850.3,78.2,Lake,,E128A3,,,,,,,,,8.503,0.929572179
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,0.99,572.4,103.1,Lake,,E129B3,,,,,,,,,5.724,0.757699625
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,0.95,2028.7,61.6,Lake,,F298,,,,,,,,,20.287,1.307217829
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,1.13,1530.7,78.3,Lake,,F338U5,,,,,,,,,15.307,1.184890082
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,0.83,705.5,83.2,Lake,,F426,,,,,,,,,7.055,0.848497018
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,1.2,1431.8,84.1,Lake,,F470B11,,,,,,,,,14.318,1.155882358
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,1.68,3030.6,81.7,Lake,,F734,,,,,,,,,30.306,1.481528619
Republic,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum obtritum,Cercidiphyllum obtritum,1.45,1242.9,102.6,Lake,,I167R,,,,,,,,,12.429,1.094436188
Republic,Cornaceae,Cornus,Cornus sp.,Cornus sp.,1.1,5046,48.7,Lake,,17260,,,,,,,,,50.46,1.702947246
Republic,Cornaceae,Cornus,Cornus sp.,Cornus sp.,0.89,1580.5,64.5,Lake,,17685,,,,,,,,,15.805,1.1987945
Republic,Rosaceae,Crataegus,Crataegus sp.,Crataegus sp.,0.79,857.6,74.3,Lake,,17496,,,,,,,,,8.576,0.933284772
Republic,Rosaceae,Crataegus,Crataegus sp.,Crataegus sp.,1.4,1489.5,93.2,Lake,,18263,,,,,,,,,14.895,1.173040508
Republic,Ericaceae,Ericaceae,Ericaceae sp.,Ericaceae sp.,0.6,494.2,74.4,Lake,,25088,,,,,,,,,4.942,0.693902741
Republic,Ericaceae,Ericaceae,Ericaceae sp.,Ericaceae sp.,0.92,657.8,92.4,Lake,,F754N11,,,,,,,,,6.578,0.818093869
Republic,Saxifragaceae,Itea,Itea sp.,Itea sp.,1.88,4310.2,77.8,Lake,,17862,,,,,,,,,43.102,1.634497423
Republic,Saxifragaceae,Itea,Itea sp.,Itea sp.,1.18,1725.1,77.3,Lake,,18130,,,,,,,,,17.251,1.236814275
Republic,Saxifragaceae,Itea,Itea sp.,Itea sp.,1.35,2152.7,78.8,Lake,,E402H6,,,,,,,,,21.527,1.332983511
Republic,Platanaceae,Macginitiea,Macginitiea gracilis,Macginitiea gracilis,0.72,1259,59.8,Lake,,17853,,,,,,,,,12.59,1.10002573
Republic,Platanaceae,Macginitiea,Macginitiea gracilis,Macginitiea gracilis,1.52,2943.2,76.5,Lake,,25050,,,,,,,,,29.432,1.468819775
Republic,Rosaceae,Photinia,Photinia pageae,Photinia pageae,0.45,1223,42.2,Lake,,25282 (G74),,,,,,,,,12.23,1.087426457
Republic,Rosaceae,Photinia,Photinia pageae,Photinia pageae,0.53,363.7,76.1,Lake,,F732V10,,,,,,,,,3.637,0.560743301
Republic,Rosaceae,Prunus,Prunus sp.,Prunus sp.,1.76,3032,84.6,Lake,,17027,,,,,,,,,30.32,1.481729197
Republic,Rosaceae,Prunus,Prunus sp.,Prunus sp.,0.68,3050.7,40.8,Lake,,17343,,,,,,,,,30.507,1.484399502
Republic,Anacardiaceae,Rhus,Rhus malloryi,Rhus malloryi,0.7,1171.2,60.2,Lake,,25077,,,,,,,,,11.712,1.068631064
Republic,Anacardiaceae,Rhus,Rhus malloryi,Rhus malloryi,0.66,389.8,87.6,Lake,,25286,,,,,,,,,3.898,0.590841835
Republic,Anacardiaceae,Rhus,Rhus malloryi,Rhus malloryi,0.6,1243.2,52.3,Lake,,25283 (H232TT),,,,,,,,,12.432,1.094541001
Republic,Anacardiaceae,Rhus,Rhus malloryi,Rhus malloryi,0.5,201.9,91.1,Lake,,F221,,,,,,,,,2.019,0.305136319
Republic,Anacardiaceae,Rhus,Rhus malloryi,Rhus malloryi,1.03,458.6,115.6,Lake,,F23,,,,,,,,,4.586,0.66143405
Republic,Anacardiaceae,Rhus,Rhus malloryi,Rhus malloryi,0.74,337.3,101,Lake,,I110JJ,,,,,,,,,3.373,0.528016341
Republic,Anacardiaceae,Rhus,Rhus malloryi,Rhus malloryi,0.37,362.1,57.9,Lake,,I7557,,,,,,,,,3.621,0.558828525
Republic,Lauraceae,Sassafras,Sassafras hesperia,Sassafras hesperia,0.73,720.6,74.8,Lake,,17594,,,,,,,,,7.206,0.857694258
Republic,Lauraceae,Sassafras,Sassafras hesperia,Sassafras hesperia,1.71,2334.4,91.5,Lake,,17905,,,,,,,,,23.344,1.368175275
Republic,Lauraceae,Sassafras,Sassafras hesperia,Sassafras hesperia,1.29,2374.6,73.3,Lake,,18391,,,,,,,,,23.746,1.375590463
Republic,Lauraceae,Sassafras,Sassafras hesperia,Sassafras hesperia,1.59,2781.3,80.9,Lake,,25259 (H98),,,,,,,,,27.813,1.444247836
Republic,Rosaceae,Spiraea,Spiraea sp.,Spiraea sp.,0.72,298.9,103.6,Lake,,17495,,,,,,,,,2.989,0.475525915
Republic,Rosaceae,Spiraea,Spiraea sp.,Spiraea sp.,0.68,494.1,81.8,Lake,,17505,,,,,,,,,4.941,0.693814854
Republic,Rosaceae,Spiraea,Spiraea sp.,Spiraea sp.,0.49,125.3,107.6,Lake,,17679,,,,,,,,,1.253,0.097951071
Republic,Rosaceae,Spiraea,Spiraea sp.,Spiraea sp.,0.79,832.1,75.2,Lake,,17973,,,,,,,,,8.321,0.920175522
Republic,Rosaceae,Spiraea,Spiraea sp.,Spiraea sp.,0.76,522.2,87.2,Lake,,18126,,,,,,,,,5.222,0.717836867
Republic,Rosaceae,Spiraea,Spiraea sp.,Spiraea sp.,0.67,563.1,77,Lake,,18127,,,,,,,,,5.631,0.750585527
Republic,Rosaceae,Spiraea,Spiraea sp.,Spiraea sp.,0.53,527.3,66,Lake,,25079,,,,,,,,,5.273,0.722057771
Republic,Rosaceae,Spiraea,Spiraea sp.,Spiraea sp.,0.52,302.6,80.4,Lake,,25080,,,,,,,,,3.026,0.480868924
Republic,Theaceae,Ternstroemia,Ternstroemia sp.,Ternstroemia sp.,1.55,2171.5,87.3,Lake,,25105,,,,,,,,,21.715,1.336759834
Republic,Theaceae,Ternstroemia,Ternstroemia sp.,Ternstroemia sp.,1.63,2379.9,87.6,Lake,,F28H,,,,,,,,,23.799,1.376558709
Republic,Ulmaceae,Ulmus,Ulmus sp.,Ulmus sp.,0.72,1666.3,53.7,Lake,,17021,,,,,,,,,16.663,1.221753194
Republic,Ulmaceae,Ulmus,Ulmus sp.,Ulmus sp.,1.02,2643.9,58.8,Lake,,17689,,,,,,,,,26.439,1.422245025
Republic,Ulmaceae,Ulmus,Ulmus sp.,Ulmus sp.,1.71,2701.4,86.5,Lake,,17863,,,,,,,,,27.014,1.431588896
Republic,Ulmaceae,Ulmus,Ulmus sp.,Ulmus sp.,1.38,2546.8,75.1,Lake,,17863,,,,,,,,,25.468,1.405994841
Republic,Ulmaceae,Ulmus,Ulmus sp.,Ulmus sp.,1.29,3521,63,Lake,,25063,,,,,,,,,35.21,1.546666025
Republic,Ulmaceae,Ulmus,Ulmus sp.,Ulmus sp.,1.17,3016.4,62.1,Lake,,E614,,,,,,,,,30.164,1.479488932
Republic,Ulmaceae,Ulmus,Ulmus sp.,Ulmus sp.,0.68,900.1,65.1,Lake,,F728,,,,,,,,,9.001,0.954290762
Republic,Ulmaceae,Ulmus,Ulmus sp.,Ulmus sp.,1.05,2335.2,63,Lake,,G98DD,,,,,,,,,23.352,1.368324082
Republic,Ulmaceae,Zelkova,Zelkova sp.,Zelkova sp.,3.03,8794.1,85.3,Lake,,18354,,,,,,,,,87.941,1.9441914
Republic,Ulmaceae,Zelkova,Zelkova sp.,Zelkova sp.,1.11,1147.9,86.2,Lake,,25089,,,,,,,,,11.479,1.059904056
Republic,Trochodendraceae,Zizyphoides,Zizyphoides flabella,Zizyphoides flabella,1.09,2377.6,64.4,Lake,,25086,,,,,,,,,23.776,1.376138792
Republic,Trochodendraceae,Zizyphoides,Zizyphoides flabella,Zizyphoides flabella,0.81,1477.6,61.6,Lake,,G430EG,,,,,,,,,14.776,1.169556882
