Database,Site,Lat,Lon,Alt,DiurnalRange,Isothermality,TempSeasonality,MaxTempWarmestMonth,MinTempColdestMonth,TempAnnualRange,MeanTempWettestQuarter,MeanTempDriestQuarter,MeanTempWarmestQuarter,MeanTempColdestQuarter,gridMAP,PrecipWettestMonth,PrecipDriestMonth,PrecipSeasonality,PrecipWettestQuarter,PrecipDriestQuarter,PrecipWarmestQuarter,PrecipColdestQuarter,gridElev,gridKoppen,gridCMI,gridNPP,gridPET,gridVPD,gridFCF,gridRSDS,gridHURS,gridCLT,gridSCD,gridGSL,gridSFCWind,gridGST,KoppenDesc,KoppenCode,newMAT,newMAP
BRIDGE,Acarouany,5.54415,-53.8132,148,8.108333587646484,77.22222137451172,58.17131805419922,32.29999923706055,21.799999237060547,10.5,26.100000381469727,26.983333587646484,26.983333587646484,25.566665649414063,2518,370,83,44.487548828125,988,284,307,644,28,1,722,24142,13454,11079,NA,18239,6695,3498,0,365,1668,2991,"Tropical, rainforest",Af,25.38083282470703,2750
BRIDGE,BAFOG,5.49414,-53.9872,57,8.133333206176758,78.20513153076172,59.03902816772461,32.29999923706055,21.899999618530273,10.399999618530273,26.066667556762695,27.049999237060547,27.049999237060547,25.616666793823242,2415,357,93,41.42137145996094,924,310,344,583,40,1,667,23825,13280,11275,NA,18153,6611,3537,0,365,1583,2990,"Tropical, rainforest",Af,26.139333206176758,2725
BRIDGE,Montagne Tortue,4.21905,-52.4116,16,8.341666221618652,75.83332824707031,44.54099655151367,31.299999237060547,20.299999237060547,11,25.03333282470703,25.649999618530273,25.683332443237305,24.58333396911621,3244,507,103,47.19468688964844,1275,354,372,946,180,1,1436,25183,12112,9418,NA,16438,7021,3822,0,365,1652,2981,"Tropical, rainforest",Af,26.24383282470703,3900
BRIDGE,Nouragues-11L,4.08333,-52.6833,27,8.583333969116211,76.63691711425781,47.29020690917969,31.799999237060547,20.600000381469727,11.19999885559082,25.433332443237305,26.116666793823242,26.116666793823242,24.950000762939453,3106,506,69,53.387821197509766,1252,294,294,998,105,1,1083,25177,12167,10363,NA,16586,6795,3990,0,365,1349,2985,"Tropical, rainforest",Af,26.046,3500
BRIDGE,Nouragues-20H,4.08333,-52.6833,27,8.583333969116211,76.63691711425781,47.29020690917969,31.799999237060547,20.600000381469727,11.19999885559082,25.433332443237305,26.116666793823242,26.116666793823242,24.950000762939453,3106,506,69,53.387821197509766,1252,294,294,998,105,1,1083,25177,12167,10363,NA,16586,6795,3990,0,365,1349,2985,"Tropical, rainforest",Af,26.046,3500
BRIDGE,Paracou-06,5.27225,-52.926,78,7.625,76.25,44.59199523925781,31.299999237060547,21.299999237060547,10,25.700000762939453,26.25,26.25,25.133333206176758,2814,420,64,49.50304412841797,1149,283,283,803,46,2,980,25307,13618,11104,NA,18272,6670,3482,0,365,1604,2990,"Tropical, monsoon",Am,25.471833206176758,2850
BRIDGE,Paracou-18,5.27225,-52.926,78,7.625,76.25,44.59199523925781,31.299999237060547,21.299999237060547,10,25.700000762939453,26.25,26.25,25.133333206176758,2814,420,64,49.50304412841797,1149,283,283,803,46,2,980,25307,13618,11104,NA,18272,6670,3482,0,365,1604,2990,"Tropical, monsoon",Am,25.471833206176758,2850
BRIDGE,Saut Lavilette,4.15093,-52.2036,187,8.441666603088379,75.37201690673828,46.144935607910156,32,20.799999237060547,11.200000762939453,25.549999237060547,26.299999237060547,26.299999237060547,25.16666603088379,3327,524,90,51.33539581298828,1301,317,317,1087,59,1,1408,25465,12190,10593,NA,16571,6766,3710,0,365,1327,2987,"Tropical, rainforest",Af,24.774833587646484,3850
BRIDGE,Tresor,4.56722,-52.2864,60,7.858333587646484,75.5608901977539,42.48660659790039,31.700000762939453,21.299999237060547,10.400001525878906,25.666667938232422,26.350000381469727,26.350000381469727,25.316667556762695,3136,490,75,50.80058670043945,1211,287,287,993,33,1,1405,25511,12705,10975,NA,17131,6666,3593,0,365,1298,2988,"Tropical, rainforest",Af,25.573500762939453,4000
DiLP,"Alamos, MX",27.1,-109,NA,16.433334350585938,55.33108901977539,468.982666015625,38.400001525878906,8.699999809265137,29.700000762939453,28.38333511352539,23.166667938232422,29.150001525878906,17.816667556762695,596,165,4,116.28861236572266,427,18,355,71,360,6,-624,11985,12627,14431,NA,20622,5150,2370,0,216,999,2968,"Arid, steppe, hot",BSh,23.2,689
