Badger's Nose,57.8466676,72.25559761,120.058002,131.6391292,54.35331621,163.3617923,81.54706356,114.0024808,53.6992184,62.94798035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baise,82,111.7,80.3,92.5,90,102.8,72.5,153.6,50.6,132.8,82.1,106.2,91.4,112.1,88.8,57.2,105.2,65.5,88.5,59.3,58.9,99.6,104.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilina Mine - DSH,86,82,51,63,146,80,77,134,80,77,86,114,53,102,59,59,67,73,68,68,68,91,64,72,102,63,101,72,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilina Mine - LSH,69,136,107,53,99,92,137,146,109,104,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogota,107.3,82.06,206.43,83.9,151.72,106.15,111.64,112.48,77.57,80.73,96.11,120.61,135.73,52.13,64.81,97.02,112.82,131.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonanza,70.45913717,130.6258492,94.16630791,110.8611723,99.24511375,61.3011403,154.2656537,98.56400013,65.19288428,110.6481041,87.87759688,68.46673574,137.3687297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Cove Creek),74.30415423,55.05791645,73.28009349,76.21157884,86.40263398,65.90116868,89.01881064,73.55823965,82.63822978,78.36771172,65.21232166,73.2671174,62.96520653,86.52886436,75.80746346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Crooked River),54.46048978,73.20343571,77.88071125,65.33152478,79.45490356,73.76469203,83.7347976,59.77633565,64.86889342,70.56140429,103.7661922,135.8656136,67.36894233,77.27208185,93.00823252,102.1105612,73.36195269,105.4997161,69.33110092,75.90306671,66.34576582,100.8262794,55.81003466,56.80772747,61.23216331,83.7570231,104.999354,92.02609604,96.88102331,56.71400405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Fossil),115.0017819,36.37913383,80.4110122,73.6923385,68.5942836,98.79950984,97.11469832,95.20257423,60.86220962,98.41980031,83.45783586,62.36457565,60.01069151,53.42069308,102.1935584,61.04772199,79.97582314,136.284559,92.33997197,70.91399903,73.92588832,92.15220332,103.4210733,75.31737239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Iron Mountain),68.16740637,65.03475885,41.53894739,75.80576455,91.47552123,96.13159893,84.0383485,55.73426621,73.02212614,71.01804021,82.53368693,77.5365459,69.87100219,65.91094143,45.3240144,132.5536066,193.0136698,69.80513679,81.15802023,53.67135834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge Creek (Painted Hills),89.15626884,59.28906732,79.84239576,77.36797064,60.68773904,108.6678351,65.84490237,84.23237831,81.06490499,86.47994551,53.52322243,55.48159864,72.21885369,54.02428585,85.76943755,75.31978744,26.99624117,91.95624548,76.16769927,72.78495585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerrejon,91,87,86,76,98,83,104,108,84,69,80,83,88,125,70,93,126,62,44,106,70,95,71,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Platypus,108.0857778,76.77778919,74.1286784,86.08174465,68.75651641,56.24461118,58.88620487,58.38817983,88.70233306,74.18575883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
