Site,Genus,Species,Source,Laminar L:W Ratio,Elliptic,Obovate,Ovate,Oblong,Linear,Medial Symmetry,Base Symmetry,Lobation,Margin Type,Apex Angle,Base Angle,Primary Vein Framework,Major Secondary Framework,Major Secondary Spacing,Major Secondary Attachment to Midvein,Intercostal Tertiary Vein Fabric,Course of percurrent tertiaries,Angle of percurrent tertiaries,Intercostal Tertiary Vein Angle Variability,Quaternary Vein Fabric,Tooth Spacing,# Orders of Teeth,Sinus Shape
Badger's Nose,Parrotia,brevipetiolata,Meyer and Manchester 1998,1.9,0,0,0,1,1,0,2,0,2,0,2,0,0,0,NA,0,NA,1,NA,3,1,0,1
Badger's Nose,Magnolia,dayana,Klucking 1964,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Badger's Nose,Rosa,hilliae,From picture,2,0,1,1,1,1,1,2,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1,0,0
Badger's Nose,Alnus,newberryi,Meyer and Manchester 1998,2,1,1,0,1,1,NA,2,0,1,0,2,0,0,NA,NA,0,0,NA,NA,3,0,1,0
Badger's Nose,Plafkeria,obliquifolia,From picture,1.5,1,1,0,1,1,2,2,0,NA,NA,1,1,6,3,2,0,0,3,NA,0,NA,NA,NA
Badger's Nose,Cercidiphyllum,sp,Meyer and Manchester 1998 (modified based on Myers 2003),1,0,1,0,1,1,NA,NA,0,2,1,3,1,6,NA,NA,0,NA,NA,NA,NA,0,0,0
Bridge Creek (Butler Basin),Paracarpinus,chaneyi,Manchester and Crane 1987,3,0,1,0,1,1,0,0,0,1,0,1,0,0,NA,NA,0,0,NA,NA,NA,0,1,0
Bridge Creek (Butler Basin),Quercus,consimilis,Meyer and Manchester 1998,3,0,1,0,1,1,NA,1,0,NA,0,0,0,7,NA,NA,0,NA,NA,NA,3,1,0,1
Bridge Creek (Butler Basin),Cercidiphyllum,crenatum,Meyer and Manchester 1998,1,0,1,0,1,1,NA,NA,0,2,1,4,1,6,NA,NA,0,NA,NA,NA,NA,0,0,0
Bridge Creek (Butler Basin),Alnus,heterodonta,Meyer and Manchester 1998,1.5,0,1,0,1,1,NA,2,0,1,0,3,0,0,NA,NA,0,0,NA,NA,0,1,1,0
Bridge Creek (Butler Basin),Alnus,newberryi,Meyer and Manchester 1998,2,0,1,0,1,1,NA,2,0,1,0,2,0,0,NA,NA,0,0,NA,NA,3,0,1,0
Bridge Creek (Butler Basin),Fagus,pacifica,Meyer and Manchester 1998,1.5,1,1,0,1,1,0,0,0,1,0,1,0,0,NA,NA,0,0,NA,NA,NA,0,1,1
Bridge Creek (Butler Basin),Pterocarya,sp,Meyer and Manchester 1998,3.5,0,1,0,1,1,2,2,0,1,0,1,0,6,NA,NA,0,0,NA,NA,NA,0,0,0
Bridge Creek (Butler Basin),Malus,NA,Meyer and Manchester 1998,2.2,0,1,1,1,1,NA,0,0,1,1,0,0,6,NA,NA,NA,NA,NA,NA,4,0,0,2
Bridge Creek (Cove Creek),Paracarpinus,chaneyi,Manchester and Crane 1987,3,0,1,0,1,1,0,0,0,1,0,1,0,0,NA,NA,0,0,NA,NA,NA,0,1,0
Bridge Creek (Cove Creek),Quercus,consimilis,Meyer and Manchester 1998,3,0,1,0,1,1,NA,1,0,NA,0,0,0,7,NA,NA,0,NA,NA,NA,3,1,0,1
Bridge Creek (Cove Creek),Amelanchier,covea,From picture,1.5,0,1,1,1,1,0,0,0,1,2,1,0,1,NA,NA,0,0,NA,NA,3,0,0,0
Bridge Creek (Cove Creek),Cercidiphyllum,crenatum,Meyer and Manchester 1998,1,0,1,0,1,1,NA,NA,0,2,1,4,1,6,NA,NA,0,NA,NA,NA,NA,0,0,0
Bridge Creek (Cove Creek),Acer,glabroides,Wolfe and Tanai 1988,1,0,1,1,1,1,NA,0,1,1,0,3,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,1
Bridge Creek (Cove Creek),Amelanchier,grayi,Meyer and Manchester 1998,1.5,1,0,0,1,1,0,0,0,1,1,2,0,0,NA,0,0,0,3,NA,NA,0,0,0
Bridge Creek (Cove Creek),Alnus,heterodonta,Meyer and Manchester 1998,1.5,0,1,0,1,1,NA,2,0,1,0,3,0,0,NA,NA,0,0,NA,NA,0,1,1,0
Bridge Creek (Cove Creek),Tilia,lamottei,Meyer and Manchester 1998,1,1,1,0,1,1,2,2,0,1,NA,4,1,0,3,NA,0,0,NA,NA,3,1,0,0
Bridge Creek (Cove Creek),Crataegus,merriami,From picture,2,0,1,0,1,1,2,2,1,1,1,2,0,0,3,0,NA,NA,NA,NA,NA,1,1,0
Bridge Creek (Cove Creek),Cedrela,merrillii,Meyer and Manchester 1998,NA,0,1,1,1,1,NA,2,0,2,0,2,0,3,0,NA,0,1,NA,NA,NA,1,0,1
Bridge Creek (Cove Creek),Alnus,newberryi,Meyer and Manchester 1998,2,0,1,0,1,1,NA,2,0,1,0,2,0,0,NA,NA,0,0,NA,NA,3,0,1,0
Bridge Creek (Cove Creek),Plafkeria,obliquifolia,From picture,1.5,1,1,0,1,1,2,2,0,NA,NA,1,1,6,3,2,0,0,3,NA,0,NA,NA,NA
Bridge Creek (Cove Creek),Acer,oligomedianum,Wolfe and Tanai 1988,0.8,0,1,1,1,1,0,0,1,1,0,3,2,0,NA,NA,0,NA,NA,NA,3,0,1,0
Bridge Creek (Cove Creek),Pterocarya,sp,Meyer and Manchester 1998,3.5,0,1,0,1,1,2,2,0,1,0,1,0,6,NA,NA,0,0,NA,NA,NA,0,0,0
Bridge Creek (Crooked River),Betula,angustifolia,Meyer and Manchester 1998,2,1,1,0,1,1,2,NA,0,1,0,2,0,0,NA,0,0,NA,3,NA,NA,0,1,0
Bridge Creek (Crooked River),Quercus,berryi,Meyer and Manchester 1998,3,0,0,0,1,1,0,0,0,NA,0,1,0,7,1,NA,0,NA,3,NA,3,1,0,1
Bridge Creek (Crooked River),Paliurus,blakei,Meyer and Manchester 1998,1.7,1,1,0,1,1,0,2,0,1,0,3,3,3,4,NA,0,0,3,NA,3,1,0,0
Bridge Creek (Crooked River),Paracarpinus,chaneyi,Manchester and Crane 1987,3,0,1,0,1,1,0,0,0,1,0,1,0,0,NA,NA,0,0,NA,NA,NA,0,1,0
Bridge Creek (Crooked River),Quercus,consimilis,Meyer and Manchester 1998,3,0,1,0,1,1,NA,1,0,NA,0,0,0,7,NA,NA,0,NA,NA,NA,3,1,0,1
Bridge Creek (Crooked River),Platanus,exaspera,Meyer and Manchester 1998,1,0,0,0,1,1,0,0,1,1,0,3,1,0,3,NA,0,0,NA,NA,3,0,1,1
Bridge Creek (Crooked River),Acer,glabroides,Wolfe and Tanai 1988,1,0,1,1,1,1,NA,0,1,1,0,3,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,1
Bridge Creek (Crooked River),Amelanchier,grayi,Meyer and Manchester 1998,1.5,1,0,0,1,1,0,0,0,1,1,2,0,0,NA,0,0,0,3,NA,NA,0,0,0
Bridge Creek (Crooked River),Alnus,heterodonta,Meyer and Manchester 1998,1.5,0,1,0,1,1,NA,2,0,1,0,3,0,0,NA,NA,0,0,NA,NA,0,1,1,0
Bridge Creek (Crooked River),Rosa,hilliae,From picture,2,0,1,1,1,1,1,2,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1,0,0
Bridge Creek (Crooked River),Cinnamomophyllum,knowltonii,Meyer and Manchester 1998,3,0,1,1,1,1,NA,NA,0,NA,NA,0,0,3,NA,NA,0,0,3,NA,3,NA,NA,NA
Bridge Creek (Crooked River),Cedrelospermum,lineatum,From picture,2.5,0,1,0,1,1,2,2,0,1,0,1,0,0,1,NA,0,0,NA,NA,3,0,0,0
Bridge Creek (Crooked River),Acer,manchesteri,Wolfe and Tanai 1988,2,0,1,0,1,1,0,0,1,1,0,3,1,0,1,NA,0,1,NA,NA,3,1,1,0
Bridge Creek (Crooked River),Crataegus,merriami,From picture,2,0,1,0,1,1,2,2,1,1,1,2,0,0,3,0,NA,NA,NA,NA,NA,1,1,0
Bridge Creek (Crooked River),Cedrela,merrillii,Meyer and Manchester 1998,NA,0,1,1,1,1,NA,2,0,2,0,2,0,3,0,NA,0,1,NA,NA,NA,1,0,1
Bridge Creek (Crooked River),Plafkeria,obliquifolia,From picture,1.5,1,1,0,1,1,2,2,0,NA,NA,1,1,6,3,2,0,0,3,NA,0,NA,NA,NA
Bridge Creek (Crooked River),Ostrya,oregoniana,From picture,2,1,1,0,1,1,0,0,0,1,0,2,0,0,3,NA,0,0,NA,NA,NA,0,2,0
Bridge Creek (Crooked River),Acer,osmonti,Wolfe and Tanai 1988,1,1,1,1,1,1,0,0,1,1,0,4,1,6,0,NA,0,NA,NA,NA,4,1,0,1
Bridge Creek (Crooked River),Fagus,pacifica,Meyer and Manchester 1998,1.5,1,1,0,1,1,0,0,0,1,0,1,0,0,NA,NA,0,0,NA,NA,NA,0,1,1
Bridge Creek (Crooked River),Fothergilla,praeovata,Meyer and Manchester 1998,1.7,1,1,0,1,1,0,0,0,2,0,1,0,0,3,NA,0,NA,NA,NA,3,1,0,1
Bridge Creek (Crooked River),Litseaphyllum,presanguinea,From picture,2.5,0,1,1,1,1,0,NA,0,NA,0,0,0,3,1,NA,1,NA,NA,NA,3,NA,NA,NA
Bridge Creek (Crooked River),Pterocarya,sp,Meyer and Manchester 1998,3.5,0,1,0,1,1,2,2,0,1,0,1,0,6,NA,NA,0,0,NA,NA,NA,0,0,0
Bridge Creek (Crooked River),Acer,sp 1,Wolfe and Tanai 1988,0.8,0,1,1,1,1,0,0,1,1,0,3,2,0,NA,NA,0,NA,NA,NA,3,0,1,0
Bridge Creek (Crooked River),Dicot,sp 21,Meyer and Manchester 1998,NA,0,1,1,1,1,0,NA,0,NA,0,0,0,6,1,NA,0,0,NA,NA,NA,NA,NA,NA
Bridge Creek (Crooked River),Dicot,sp 23,Meyer and Manchester 1998,4,0,1,1,1,1,0,0,0,NA,0,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bridge Creek (Fossil),Acer,ashwillii,Wolfe and Tanai 1988,1,1,1,0,1,1,0,0,1,1,0,2,1,0,1,NA,NA,NA,NA,NA,4,0,1,0
