,,,,,,,,,,,Laminar Size,,,,,,,,Laminar Shape,,,,,,,,,,,,Apex Shape,,,,,,,,Base Shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Genus,Species,Source,Leaf Attachment,Leaf Arrangement,Leaf Organization,Leaflet Arrangement,Leaflet Attachment,Petiole Features,Position of Lamina Attachment,Leptophyll,Nanophyll,Microphyll,Notophyll,Mesophyll,Macrophyll,Megaphyll,Laminar L:W Ratio,Elliptic,Obovate,Ovate,Oblong,Linear,Special,Medial Symmetry,Base Symmetry,Lobation,Margin Type,Special Margin Features,Apex Angle,Straight,Convex,Rounded,Truncate,Acuminate,Emarginate,Lobed,Base Angle,Straight2,Concave,Convex2,Rounded2,Truncate2,Concavo-convex,Complex,Decurrent,Cordate,Lobate,Sagittate,Hastate,Runcinate,Auriculate,Terminal Apex Features,Surface Texture,Surficial Glands,Primary Vein Framework,Naked Basal Veins,# of Basal Veins,Agrophic Veins,Major Secondary Framework,Interior Secondaries,Minor Secondary Course,Perimarginal Veins,Major Secondary Spacing,Variation of Major Secondary Angle to Midvein,Major Secondary Attachment to Midvein,Intersecondaries,Intersecondary Proximal Course,Intersecondary length,Intersecondary distal course,Intersecondary frequency,Intercostal Tertiary Vein Fabric,Course of percurrent tertiaries,Angle of percurrent tertiaries,Intercostal Tertiary Vein Angle Variability,Epimedial tertiary fabric,Proximal course of percurrent epimedial tertiaries,Distal course of the epimedial tertiaries,Exterior Tertiary Course,Quaternary Vein Fabric,Quinternary Vein Fabric,Areolation,FEV branching,FEV terminals,Marginal Ultimate Veination,Tooth Spacing,# Orders of Teeth,# Teeth per cm,Sinus Shape,Tooth Shape 1,Tooth Shape 2,Tooth Shape 3,Tooth Shape 4,Principal Vein,Principal Vein Termination,Course of Major Accessory Veins,Special features of tooth apex,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63
Allrott,Sideroxylon,salicites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Shale,"""Populus"" aspensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Shale,Sapindopsis belviderensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Shale,Sapindopsis magnifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger's Nose,Parrotia,brevipetiolata,Meyer and Manchester 1998,,,,,,,,,,,,,,,1.9,present,present,present,,,,Symmetrical,Asymmetrical,Unlobed,Crenate (serrate),,Acute,present,,,,present,,,Obtuse,present,,present,,,,,,present,,,,,,,,,pinnate,,3,,Craspedodromous,,,,Regular,Smoothly increasing proximally,,Present,,Less than 50% of subjacent secondary,,,Percurrent,,Obtuse,,,,,,Regular reticulate,,,,,,Irregular,1,,Rounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger's Nose,Magnolia,dayana,Klucking 1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger's Nose,Rosa,hilliae,From picture,,,,,,,,,,,,,,,2,present,,,,,,Varies,Asymmetrical,Unlobed,Serrate,,Acute,,present,,,,,,Acute,,,present,,,,,,,,,,,,,,,pinnate,,,,Semicraspedodromous,,,,Regular,Uniform,,,,,,,,,,,,,,,,,,,,,Irregular,1,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badger's Nose,Alnus,newberryi,Meyer and Manchester 1998,,,,,,,,,,,,,,,2,,,present,,,,,Asymmetrical,Unlobed,Serrate,,Acute,,,,,present,,,Obtuse,,,present,,,,,present,,,,,,,,,,pinnate,,,,Craspedodromous,,,,,Uniform,,,,,,,Percurrent,Opposite percurrent - Straight,,,,,,,Regular reticulate,Regular reticulate,,,,,Regular,2,,Angular,,,,,Present,At the apex of tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
